alert_id,timestamp,host,metric,value,severity,message,source
909b9e99-d7f3-43c9-a2b6-7d8a9b4bea0a,1586534808000,os_004,CPU_util_pct,1.138405,Critical,High CPU Utilization,os_linux.csv
f0fc99bb-a361-4164-8d24-c5a61e6d5717,1586535092000,os_022,CPU_util_pct,4.967818,Critical,High CPU Utilization,os_linux.csv
5ca97088-a09e-4c24-8d79-2dce9fc0e2df,1586535271000,db_010,MEM_real_util,56.66,Critical,High Memory Utilization,db_oracle_11g.csv
56778fbe-1369-4b2d-9173-c237cccd1413,1586536140000,os_002,CPU_util_pct,31.485227,Critical,High CPU Utilization,os_linux.csv
96b740fb-3bf2-47c6-aef9-d1c739295db9,1586536834000,db_011,MEM_real_util,57.32,Critical,High Memory Utilization,db_oracle_11g.csv
605adc9e-c5da-4b6a-8277-82efe0134d38,1586536852000,os_004,CPU_util_pct,1.06801,Critical,High CPU Utilization,os_linux.csv
f60649df-a551-469b-b6e8-4ea89078a29c,1586537058000,db_013,MEM_real_util,54.84,Critical,High Memory Utilization,db_oracle_11g.csv
c90ebb10-619f-4c43-b3d6-4d619d77a088,1586537406000,db_010,MEM_real_util,56.65,Critical,High Memory Utilization,db_oracle_11g.csv
41c79a24-8e22-4b5b-a18a-e195292d49c6,1586537445000,db_003,MEM_real_util,46.7,Critical,High Memory Utilization,db_oracle_11g.csv
1b2cf690-1f60-4eea-933f-78717fefeb37,1586537445000,db_008,MEM_real_util,82.26,Critical,High Memory Utilization,db_oracle_11g.csv
8609750c-6dbc-4b87-9853-789e5abfb0f7,1586537565000,db_003,MEM_real_util,46.7,Critical,High Memory Utilization,db_oracle_11g.csv
d1f0b387-490f-4d8c-9080-7a506b9ee757,1586537568000,os_004,CPU_util_pct,1.103102,Critical,High CPU Utilization,os_linux.csv
e8301f7b-d292-40ef-b140-0df0116475d2,1586537583000,os_002,CPU_util_pct,31.182949,Critical,High CPU Utilization,os_linux.csv
5fecc60b-8baa-4ebf-9623-b3c650b87fe0,1586538140000,os_019,CPU_util_pct,2.58695,Critical,High CPU Utilization,os_linux.csv
d154cefc-747e-4b82-9816-1231365498d1,1586539008000,os_004,CPU_util_pct,1.085116,Critical,High CPU Utilization,os_linux.csv
ae8bef8d-d081-4eec-b335-641b4322f64d,1586539181000,os_020,CPU_util_pct,2.370555,Critical,High CPU Utilization,os_linux.csv
3a7f1a43-b8e9-4e93-a4ab-73592bdb7236,1586539308000,os_004,CPU_util_pct,1.074302,Critical,High CPU Utilization,os_linux.csv
a75f7f0b-c64a-4ddc-af2b-160de3cdf4e4,1586539621000,db_007,MEM_real_util,78.6,Critical,High Memory Utilization,db_oracle_11g.csv
ea616a1a-cc76-49b2-b6cc-57bbc9df74e0,1586540925000,os_018,CPU_util_pct,2.313192,Critical,High CPU Utilization,os_linux.csv
ee11a323-df07-4dc4-898f-c8a5ac89cb4b,1586540940000,os_002,CPU_util_pct,31.300247,Critical,High CPU Utilization,os_linux.csv
77ea80b2-dee0-4c1c-84e9-aa1cc9f068cd,1586541384000,db_013,Sess_Connect,1352.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
a63e024a-e6b3-4324-83f3-d0835ad59fb8,1586541402000,os_020,CPU_util_pct,2.284975,Critical,High CPU Utilization,os_linux.csv
c4114f5c-ffbd-4b52-beb1-3eab726d696c,1586541795000,db_002,MEM_real_util,45.17,Critical,High Memory Utilization,db_oracle_11g.csv
8264c66f-7eb9-4f29-9720-cb748370d4e2,1586542001000,os_020,CPU_util_pct,2.289779,Critical,High CPU Utilization,os_linux.csv
b8b90631-9e9f-44c6-a8d8-b84bc8a4373c,1586542326000,db_010,MEM_real_util,56.57,Critical,High Memory Utilization,db_oracle_11g.csv
3e2da89b-c196-4518-b099-e6736aa658ea,1586542714000,db_011,MEM_real_util,57.22,Critical,High Memory Utilization,db_oracle_11g.csv
23bb727c-26f2-4e6b-aa94-0779ceb93a38,1586543061000,os_019,CPU_util_pct,2.310619,Critical,High CPU Utilization,os_linux.csv
842e1c8d-a1a6-47fa-bc0c-a0da88827b69,1586543252000,os_022,CPU_util_pct,4.918461,Critical,High CPU Utilization,os_linux.csv
fd905389-0f14-49c1-a48f-f47fa50042aa,1586543430000,db_004,MEM_real_util,4.81,Critical,High Memory Utilization,db_oracle_11g.csv
213fac39-1b81-44c0-9b43-5c5bed9c7e27,1586543584000,os_012,CPU_util_pct,1.065606,Critical,High CPU Utilization,os_linux.csv
9e7ba6e9-ec77-491c-be5e-6c359f3ee296,1586543604000,os_018,CPU_util_pct,2.624933,Critical,High CPU Utilization,os_linux.csv
7466388d-2729-40e1-89e5-dfaabdf58ae9,1586544094000,db_011,MEM_real_util,57.21,Critical,High Memory Utilization,db_oracle_11g.csv
14b01384-e616-4329-b5f6-9f5365502d2a,1586544285000,db_003,MEM_real_util,46.7,Critical,High Memory Utilization,db_oracle_11g.csv
a9c74daf-9570-488d-b225-d3f36848e163,1586544585000,db_008,MEM_real_util,82.31,Critical,High Memory Utilization,db_oracle_11g.csv
0bcf760f-2a73-4f2a-bdec-bc15e9bb2425,1586545566000,db_010,MEM_real_util,56.37,Critical,High Memory Utilization,db_oracle_11g.csv
43b198fb-16dc-4f86-94bb-d2b70f8e4e81,1586546125000,os_018,CPU_util_pct,2.4263,Critical,High CPU Utilization,os_linux.csv
cabf904f-9588-4494-8ba5-a0f224f89d7e,1586546544000,db_013,Sess_Connect,1350.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
16e3fa45-09ed-4c67-938e-6a101a3c2ef9,1586548130000,db_012,MEM_real_util,79.32,Critical,High Memory Utilization,db_oracle_11g.csv
93ab4d99-1ec6-4b72-9457-4cca0a948a45,1586548610000,db_012,MEM_real_util,79.32,Critical,High Memory Utilization,db_oracle_11g.csv
e3cf26bd-02fe-4d5f-a45b-635df4389b46,1586548764000,os_018,CPU_util_pct,2.271463,Critical,High CPU Utilization,os_linux.csv
cffcfdce-321e-4a02-bcd8-32adc5c0a15d,1586548905000,db_008,MEM_real_util,82.34,Critical,High Memory Utilization,db_oracle_11g.csv
cbb734cb-46be-4a74-a809-ae1732457272,1586549118000,db_013,MEM_real_util,54.47,Critical,High Memory Utilization,db_oracle_11g.csv
8e384776-4f4a-4a69-afde-ccebd9aa32fb,1586549373000,os_022,CPU_util_pct,4.994285,Critical,High CPU Utilization,os_linux.csv
f03beed5-806d-46aa-a4e3-0376029bf8e1,1586550045000,db_003,MEM_real_util,46.75,Critical,High Memory Utilization,db_oracle_11g.csv
c47155e8-88ce-42fa-93dd-9bb1b397f4f4,1586550624000,db_013,Sess_Connect,1350.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
