alert_id,timestamp,host,metric,value,severity,message,source
d0e04277-de4d-486a-9c80-78fd6a764ef7,1590687138000,db_013,MEM_real_util,54.73,Critical,High Memory Utilization,db_oracle_11g.csv
47e74a08-888c-48af-bb98-62bf2af77093,1590687150000,db_004,MEM_real_util,5.04,Critical,High Memory Utilization,db_oracle_11g.csv
f4d080a4-1187-4311-aae9-6024f1be0bc0,1590687154000,db_009,Sess_Connect,509.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
62d77e7a-bc07-4a26-b89e-1d410f586ae9,1590687154000,db_011,MEM_real_util,57.17,Critical,High Memory Utilization,db_oracle_11g.csv
62c26e02-b7e2-442e-aa4d-d7bc3b27facf,1590687155000,db_008,Sess_Connect,510.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
9770c6f4-0594-4e28-81da-0dca2c4dc1f5,1590687155000,db_013,Sess_Connect,1279.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
5f432fd6-a14b-4441-a182-f4c8763f38f5,1590687155000,db_012,Sess_Connect,556.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
08c386fe-53cb-4ce5-b66f-ddfa7d1aac10,1590687165000,db_001,MEM_real_util,46.36,Critical,High Memory Utilization,db_oracle_11g.csv
7260d7d0-cb3f-4e70-bcbd-ceb96b95bfc5,1590687165000,db_003,MEM_real_util,45.5,Critical,High Memory Utilization,db_oracle_11g.csv
2581d4c2-3839-4d31-991e-b93393273bd8,1590687165000,db_008,MEM_real_util,83.54,Critical,High Memory Utilization,db_oracle_11g.csv
56b60d67-86b4-4004-9db4-dfce2c4ccc44,1590687170000,db_012,MEM_real_util,79.87,Critical,High Memory Utilization,db_oracle_11g.csv
2a5b7dcd-44c9-448d-a24b-0077d34de418,1590687180000,db_007,MEM_real_util,80.47,Critical,High Memory Utilization,db_oracle_11g.csv
05698bc4-e6ec-4bca-a9f3-bc32ce4c2392,1590687183000,db_009,MEM_real_util,8.82,Critical,High Memory Utilization,db_oracle_11g.csv
17fb8c7f-a731-4f99-b90a-4f4e3f3644be,1590687186000,db_010,MEM_real_util,55.9,Critical,High Memory Utilization,db_oracle_11g.csv
af150147-2ff0-4344-9aaa-f78000e0dffd,1590687195000,db_005,MEM_real_util,82.25,Critical,High Memory Utilization,db_oracle_11g.csv
98de6fe7-d1f0-4a4e-9636-afea446a2151,1590687195000,db_002,MEM_real_util,45.4,Critical,High Memory Utilization,db_oracle_11g.csv
1d422be1-a177-4614-9d18-4469732ae81e,1590687198000,db_013,MEM_real_util,54.73,Critical,High Memory Utilization,db_oracle_11g.csv
63e208bd-4942-4362-9946-180bf3937c75,1590687210000,db_004,MEM_real_util,5.05,Critical,High Memory Utilization,db_oracle_11g.csv
f3733954-7a05-498c-815b-c9e953532790,1590687214000,db_011,MEM_real_util,57.17,Critical,High Memory Utilization,db_oracle_11g.csv
d7415643-2b9d-4949-9bab-f6e8eaa4a371,1590687214000,db_009,Sess_Connect,508.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
1dc7eedb-8db5-49e6-ba2f-ff4f3e5c2d03,1590687215000,db_008,Sess_Connect,510.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
34cce80f-5f6b-440e-9f42-4beb419f28d4,1590687215000,db_012,Sess_Connect,554.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
04ec0338-da3b-4d06-a454-d6816aacea58,1590687215000,db_013,Sess_Connect,1279.0,Warning,Too Many Database Sessions,db_oracle_11g.csv
2233084d-2697-4086-ae64-65679f94374b,1590687216000,os_018,CPU_util_pct,3.374705,Critical,High CPU Utilization,os_linux.csv
086948b3-eef5-42e1-946f-120d455a9230,1590687225000,db_001,MEM_real_util,46.36,Critical,High Memory Utilization,db_oracle_11g.csv
337fdda8-e48b-47f5-85ea-87c5e59bb768,1590687225000,db_003,MEM_real_util,45.5,Critical,High Memory Utilization,db_oracle_11g.csv
67367332-e064-4b59-a682-38f532844cae,1590687225000,db_008,MEM_real_util,83.53,Critical,High Memory Utilization,db_oracle_11g.csv
