timestamp,component,level,message
2020-05-27T18:00:28Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1332)
2020-05-27T18:00:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=505)
2020-05-27T18:00:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=547)
2020-05-27T18:01:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=547)
2020-05-27T18:01:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=501)
2020-05-27T18:01:28Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1332)
2020-05-27T18:02:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=547)
2020-05-27T18:02:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=501)
2020-05-27T18:02:28Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1332)
2020-05-27T18:03:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=501)
2020-05-27T18:03:28Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1332)
2020-05-27T18:03:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=547)
2020-05-27T18:04:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=501)
2020-05-27T18:04:28Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1332)
2020-05-27T18:04:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=547)
2020-05-27T18:05:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=549)
2020-05-27T18:05:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=501)
2020-05-27T18:05:28Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1332)
2020-05-27T18:06:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=503)
2020-05-27T18:06:28Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1334)
2020-05-27T18:06:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=549)
2020-05-27T18:07:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=503)
2020-05-27T18:07:28Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1334)
2020-05-27T18:07:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=549)
2020-05-27T18:08:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=503)
2020-05-27T18:08:29Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=549)
2020-05-27T18:08:29Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1334)
2020-05-27T18:09:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=504)
2020-05-27T18:09:28Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1334)
2020-05-27T18:09:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=550)
2020-05-27T18:10:28Z,db_008,WARNING,db_008: Too Many Database Sessions (Sess_Connect=504)
2020-05-27T18:10:28Z,db_013,WARNING,db_013: Too Many Database Sessions (Sess_Connect=1334)
2020-05-27T18:10:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=549)
2020-05-27T18:11:28Z,db_012,WARNING,db_012: Too Many Database Sessions (Sess_Connect=549)
